127.0.0.1 - - [13/Mar/2023:10:22:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:22:34 +0900] "GET /tomcatTest/test1.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:22:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:44:14 +0900] "GET /tomcatTest/sangsungja.html HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:44:42 +0900] "GET /tomcatTest/sangsungja.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:55:24 +0900] "GET /tomcatTest/guessColor.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:55:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:55:30 +0900] "GET /tomcatTest/guessColor.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:56:00 +0900] "GET /tomcatTest/guessColor.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:56:25 +0900] "GET /tomcatTest/guessColor.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:04:56 +0900] "GET /tomcatTest/guessColor.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:05:56 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:06:27 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:06:43 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:07:48 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:09:28 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:09:39 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:10:54 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:12:24 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:13:30 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:14:16 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:14:26 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:14:30 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:11:15:16 +0900] "GET /tomcatTest/songs.html HTTP/1.1" 200 1020
